"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
673,34,M/s Tata Power Compnay Limited,"1. It is suggested to revise qualification requirement mentioned under point no. ii. a) as under:
The USER shall have an industrial/commercial unit which, for its commercial/ industrial activities has requirement of electricity of about 2500 MUs per year, which the USER intends to  meet from the captive generating plant of the BSR.
OR
USER sister group company/ies has requirement of electricity of about 2500 MU per year which User sister group company/ies intend to meet from BSRs plants. If required, User may form Special Purpose Vehicle (SPV) or Joint Venture (JV) with sister group company/ies for implementation of BSRs.
2. Regarding point no. iix. b) of qualification requirement, we request NPCIL to clarify that at granular level, what would be the exact criteria regarding high safety margin and low financial risk in terms of credit rating (e.g. Net Debt/EBITDA, Debt/Equity)? Do we follow credit rating assessments done by Indian (CARE, ICRA, CRISIL, India Ratings) or foreign credit rating agencies for this purpose?
NPCIL to also confirm that If User is SPV or JV, networth and credit rating of majority stakeholder shall be considered for meeting qualification requirement.",Refer RFP Annexure-3 and Corrigendum-IV
674,35,M/s Tata Power Compnay Limited,"Cost indicated is for projects completed around 15 Years back. Also, cost is for expansion project wherein some of the existing infrastructure of existing units have been used. NPCIL shall share specification, drawings and BOQ for 2 x 220 MW BSRs and
approved vendor list to estimate cost of 2 x 220 MW BSRs.",Relevant Details will be shared after signing NDA
675,36,M/s Tata Power Compnay Limited,"User request NPCIL, DAE and GoI to consider following benefits and incentives to make BSRs techno-commercially viable:
1. Benefit of green power to be extended & MoP, GoI and State Govt shall waive off ISTS and State Transmission charges.
2. GoI shall provide following financial incentives and shall waive off following taxes and duties:
2.1 GoI allow framework for raising capital via Clean Bonds. These Clean Bonds should enjoy tax benefits like the Green Bonds and / or Mega Projects.
2.2 Green loans below GoI rate with moratorium of PPA period
2.3 Concession in taxes & duties like GST, Customs, Imports and all kind of taxes and duties in relation to Construction and Operations for life span of the project.
2.4 Single window fast track statutory clearance for BSR adoption.
3. Power generated from BSR shall be treated as Base load.
4. Assistance from NPCIL for the USER in securing financing for the project under any master tripartite agreement with banks - at competitive interest rates.
5. Waiver of transmission charges, electricity duty and other charges.
6. Mandating Discoms for use of clean power from nuclear sources similar to renewable power obligation.",RFP terms & conditions shall prevail.
676,37,M/s Tata Power Compnay Limited,"a.  Under the operation phase, will the employees involved in operation and maintenance activities fall under the direct employment of NPCIL, or will they be considered employees of the USER?
b. Can you clarify as to who will be responsible for compliance with applicable labour laws, statutory obligations, and employee liabilities, including gratuity, insurance, and provident fund contributions?
c. Can it be clarified that in the event of a labour dispute or non-compliance with statutory requirements, etc., the sole cost and risk shall remain with  NPCIL?",RFP terms & conditions shall prevail.
677,38,M/s Tata Power Compnay Limited,"The present Clause envisages that the USER may approach the State Government seeking a lease for a period of 99 years or more. However, in terms of Annexure-2 [Page 39 ], the operational life of the plant shall be for a period of about 40 years.
In such a case, kindly clarify the rationale for a lease period of 99 years or more when the operational life of the project shall be about 40 years.",RFP terms & conditions shall prevail.
678,39,M/s Tata Power Compnay Limited,"In the event should the vendors provided by NPCIL are not able to undertake the relevant works in a cost-effective manner, then would NPCIL consider approving other vendors as proposed by the USER?
Further, if there are any delays or any works which are sub-standard carried out by such vendors, then how would NPCIL propose to address such concerns?",User can recommend new vendors for qualification by NPCIL.
679,40,M/s Tata Power Compnay Limited,"As per Clause (vii)(b)(iv) [Page 10 ] as well as Clause (i) [Page 6 ], the entirety of the NPP Assets shall be transferred to NPCIL once the project has been fully constructed under a long term comprehensive O&M agreement (Agreement 3) at a value of Rs. 1.
The present Clause is inconsistent with the aforesaid Clauses as this clause talks about stage wise transfer of NPP Assets instead of one single transfer once the construction has been completed. The same may be clarified. It may further be clarified that if NPCIL requires transfer of assets stage-wise for securing approvals, then what would be the mode and manner of such transfer?",Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.
680,41,M/s Tata Power Compnay Limited,"(a)           At what stage is the said tripartite agreement to be signed between the parties? Would it be subsequent to execution of Agreement 3?
(b)          Would there be any pre-agreed costs for the leasing of fuel and heavy water?
(c)           Would any variation in costs of these materials be at the risk of the USER for the life of the Project?
(d)          Please clarify that NPCIL/DAE shall indemnify (which includes but is not limited to the cost of electricity/ restitution for loss of generation) the USER against all costs and losses that are incurred as a result of disruption in the supply of fuel and/or heavy water.",RFP terms & conditions shall prevail.
681,42,M/s Tata Power Compnay Limited,Would NPCIL indemnify the USER in the event this PLF is not achieved?,RFP terms & conditions shall prevail.
682,43,M/s Tata Power Compnay Limited,"As per the disclaimer issued to the present RFP, the information provided may depend on the interpretation of law, is not intended to be an exhaustive account of the statutory requirements and should not be regarded as complete or authoritative statement of law.
Thus, the setting up of the BSR is at a very nascent stage. In light of the same, there might be further queries in addition to the present queries or queries emanating from NPCIL’s responses to the present queries. Therefore, it may be clarified or the present RFP may be suitably amended to provide for further queries.",RFP terms & conditions shall prevail.
683,44,M/s Tata Power Compnay Limited,"""       against intangible asset. i.e. right of the USER to have beneficial ownership of the
electricity.""  In the RFP, there is some ambiguity regarding ownership of asset. Whether asset will initially be in the books of Tata Power and then transferred to NPCIL? If yes, then since capital asset is transferred at inadequate consideration, there could be implications of section 50C /50D and Tata Power may have capital gain implication. As mentioned in above point, the word transfer is creating ambiguity.
Further, please  note that tax implications will depend upon the accounting treatment. Hence, RFP needs to provide clarity. In case of ownership, Tata Power will be eligible to claim depreciation. If there is no ownership since start of project, then accounting needs to be done as per ""Right to Use"" asset. The tax treatment shall depend on the accounting treatment, which is different for both scenarios.","The broad methodology within the existing regulatory framework has been addressed in the RFP,  for micro detailing, financial / Tax  experts may be consulted."
